"dataset","source","domain","k","p","kp_ratio","n_original","n_clean","n_missing","pct_missing","clustered","n_clusters","vif_max","n_moderators","moderator_names","cv_method","r2_apparent","r2_adjusted","r2_cv","r2_ridge","optimism","perm_pval","perm_significant","tau2_null","I2_null","Q_pval","perm_pval_bh","perm_sig_bh","risk_category","data_quality"
"dat.kalaian1996","metadat","Other",67,2,33.5,67,67,0,0,TRUE,47,NA,1,"year","no_het",NA,NA,NA,NA,NA,NA,NA,0,0,0.904416336882827,NA,NA,"Low","High"
"dat.knapp2017","metadat","Other",66,2,33,66,66,0,0,TRUE,31,NA,1,"year","5-fold",0,0,0,NA,0,1,FALSE,0.0551081786342734,47.7386050341437,0.00000276792431388675,1,FALSE,"Low","High"
"data_r_bvdrr","psychmeta","Other",100,2,50,100,100,0,0,FALSE,NA,NA,1,"n","5-fold",7.07624250364628,6.12804089654063,0,NA,7.07624250364628,0.0784313725490196,FALSE,0.00626184931687604,70.7060107455973,0.00000000000000000000000000511368378284193,0.705882352941176,FALSE,"Low","High"
"data_r_gonzalezmule_2014","psychmeta","Other",43,2,21.5,43,43,0,0,FALSE,NA,NA,1,"n","5-fold",5.93679016402451,3.64256553387876,0,NA,5.93679016402451,0.235294117647059,FALSE,0.0104334273641463,74.3691776236769,0.000000000147154568891065,0.705882352941176,FALSE,"Low","Medium"
"data_r_mcdaniel_1994","psychmeta","Other",160,2,80,160,160,0,0,FALSE,NA,NA,1,"n","10-fold",0,0,0,NA,0,1,FALSE,0.0293105354866488,81.2920405136112,0.00000000000000000000000000000000000000000000000000000000000000000000000000000634954498337327,1,FALSE,"Low","Medium"
"data_r_meas","psychmeta","Other",100,2,50,100,100,0,0,FALSE,NA,NA,1,"n","5-fold",2.64723695440943,1.65384141312789,1.73163561745329,NA,0.91560133695614,0.176470588235294,FALSE,0.0421695740967769,95.4001002081081,0,0.705882352941176,FALSE,"Low","Low"
"data_r_meas_multi","psychmeta","Other",120,2,60,120,120,0,0,FALSE,NA,NA,1,"n","10-fold",0,0,0,NA,0,1,FALSE,0.0180676804362045,84.1981895557863,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000783297291190926,1,FALSE,"Low","Medium"
"data_r_roth_2015","psychmeta","Other",240,2,120,240,240,0,0,FALSE,NA,NA,1,"n","10-fold",0,0,0,NA,0,1,FALSE,0.0492535466752922,95.4415968842564,0,1,FALSE,"Low","Low"
"data_r_uvdrr","psychmeta","Other",50,2,25,50,50,0,0,FALSE,NA,NA,1,"n","5-fold",0,0,0,NA,0,1,FALSE,0.00719557319429433,62.9847638122335,0.000000000753414172415566,1,FALSE,"Low","High"
"data_r_uvirr","psychmeta","Other",20,2,10,20,20,0,0,FALSE,NA,NA,1,"n","LOOCV",0,0,0,NA,0,1,FALSE,0.00367997131273713,41.7789173639113,0.0147646359537348,1,FALSE,"Moderate","Medium"
